timestampIso,tag,bridgeName,direction,transferAmount,transferAmountUsd,runsPlanned,totalRuns,successCount,failureCount,successRate_pct,latency_min_ms,latency_p50_ms,latency_p90_ms,latency_p95_ms,latency_max_ms,latency_mean_ms,latency_std_ms,cost_n,cost_mean_bridge_usd,cost_mean_source_fee_usd,cost_mean_target_fee_usd,batchDurationMs,xrplUrl,xrplAddress,evmUrl,evmAddress
2025-12-07T14:06:00.503Z,mainnet_base_to_xrpl_1765116269332,near-intents,base_to_xrpl,4,0,3,3,3,0,100,22986,30461,34921.8,35479.4,36037,29828,5346.8163112890525,3,5.950309610000001,1.0333333333e-7,0.000021653333333333335,91145,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-07T14:04:21.331Z,mainnet_xrpl_to_base_1765116134581,near-intents,xrpl_to_base,4,0,3,3,3,0,100,33652,35274,52714,54894,57074,42000,10679.476516508976,3,0.006871999999999545,0.00002436,9e-8,126719,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-07T14:02:10.026Z,mainnet_xrpl_evm_to_xrpl_1765115962939,axelar,xrpl_evm_to_xrpl,4,0,3,3,3,0,100,14909,65766,79938.8,81710.4,83482,54719,29064.196060903985,3,2.70666599,0.18944715999999998,0.22330744333333338,167057,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-07T13:59:14.745Z,mainnet_xrpl_to_xrpl_evm_1765115660380,axelar,xrpl_to_xrpl_evm,4,0,3,3,3,0,100,94725,98248,99946.4,100158.7,100371,97781.33333333333,2328.4705041913003,3,0.4314156,0.004112103333333333,0.12447941,294342,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-07T13:43:04.546Z,mainnet_xrpl_to_flare_1765114836794,fasset,xrpl_to_flare,10,0,1,1,1,0,100,147048,147048,147048,147048,147048,147048,0,0,,0.00079017,0.04133948,147727,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-07T13:30:46.328Z,mainnet_xrpl_to_flare_1765113614876,fasset,xrpl_to_flare,10,0,1,1,0,1,0,,,,,,,,0,,,,631425,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-07T12:29:40.423Z,mainnet_xrpl_to_flare_1765110408091,fasset,xrpl_to_flare,10,0,1,1,1,0,100,171597,171597,171597,171597,171597,171597,0,0,,0.0010593599999999999,0.0432249,172306,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-06T19:17:51.973Z,mainnet_xrpl_to_flare_1765048519404,fasset,xrpl_to_flare,10,0,1,1,1,0,100,151937,151937,151937,151937,151937,151937,0,0,,0.00038816,0.04246146,152542,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-06T19:01:01.861Z,mainnet_base_to_xrpl_1765047477373,near-intents,base_to_xrpl,4,0,6,4,4,0,100,9622,40454,48588,49420.5,50253,35195.75,15589.610761256998,4,4.4730121275000005,7e-8,0.000021315,183026,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-06T18:52:12.441Z,mainnet_xrpl_to_flare_1765046940217,fasset,xrpl_to_flare,10,0,1,1,1,0,100,191616,191616,191616,191616,191616,191616,0,0,,0.00050838,0.04106035,192203,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
2025-12-06T18:02:49.762Z,mainnet_xrpl_to_flare_1765044017775,fasset,xrpl_to_flare,10,0,1,1,1,0,100,151468,151468,151468,151468,151468,151468,0,0,,0.00002436,0.04133704,151961,wss://xrplcluster.com/,rneoLeMEDF3aRzd2ejsEo3MabLsjCnho55,https://rpc.xrplevm.org,0xeF0e7DD8823791927C9685ef946350971A21114E
