runId,timestampIso,bridgeName,direction,success,sourceTxHash,targetTxHash,bridgeMessageId,depositAddress,latencyMs,sourceFee,targetFee,bridgeFee,totalCost,sourceFeeUsd,targetFeeUsd,bridgeFeeUsd,totalCostUsd,abort_reason,error_type
mainnet_base_to_xrpl_1765469145470,2025-12-11T16:06:29.901Z,near-intents,base_to_xrpl,1,0x26bd927d249fa8b67b415b6b6a82fea99beeb7fdc22c83ae4afc36ab8490e590,8565F32BDF19E99DD0F86939F4F4B0E893CDA6033C134F666387A526DDC7FC93,,0xdBab0C8D5eF15Dcac20578267d70D3E007Ef7a94,34668,0,0,,,0,0,-0.038,8.80000017,,
mainnet_base_to_xrpl_1765469145470,2025-12-11T16:05:45.956Z,near-intents,base_to_xrpl,1,0x501b64abc91dc9bc9ac08bee7534b1822f0d147b65ea1b35a6993bbf464412ec,D5D8CB3FF4C955CF2740B4ACD316604466E0B2350D182310A5541D68E379B82D,,0xc3fE8d4e6688f7239b0c88bb9CB90C967B086a47,43667,0,0,,,0,0,-0.03,8.80000017,,
mainnet_xrpl_to_base_1765468961393,2025-12-11T16:04:49.427Z,near-intents,xrpl_to_base,1,9B11634EFB7F6C2E20A59F66BDD4C3E82A312A11C9E9E624FBBBFBE797853863,0x34ed1414d08cc427c61b07b0d161641b840db55ea9cbbb85cf0a9b726b1d16a3,,rfUe4Vs6oi4BepQKV1YFL2oAiiCAquBDtG,48562,0,0,,,0,0,0.036,8.000024,,
mainnet_xrpl_to_base_1765468961393,2025-12-11T16:02:41.612Z,near-intents,xrpl_to_base,1,A70286D867F7869DD0271132D6EBBD2F89B336210BAC37D9C67D027ACDD67C2C,0x95e4f566aba1a3f580af2421e867a098f61415d3692af990359b458d4e1c8b71,,rNstw25KoQjS5gXJo4fC2prNSknEPpyvzu,127715,0,0,,,0,0,0.028,8.000024,,
mainnet_xrpl_evm_to_xrpl_1765468822390,2025-12-11T16:01:32.187Z,axelar,xrpl_evm_to_xrpl,1,0xefffde9412069834a5caa0630894bdf6e1b4ef341cbb5e54e03e96db8c7d813f,CBD7341B8DF66BA1132E9F4529A72B1892AE5D2BF0153C7E39D29F06160B54DA,,,65122,0.093,0.165,0,4.093320425,0.187,0.33,0,8.18664085,,
mainnet_xrpl_evm_to_xrpl_1765468822390,2025-12-11T16:00:24.078Z,axelar,xrpl_evm_to_xrpl,1,0xb3a27bfcf42e8ae7b3fc4dc6bbccecd45dcd4574dd4b4a877ca19a0458bd8fdf,CA63BA694066319FF7376C92E914C48C8122E635534EE0643E15462A28B69B96,,,67550,0.093,0.165,0,4.093320425,0.187,0.33,0,8.18664085,,
mainnet_xrpl_to_xrpl_evm_1765468678540,2025-12-11T15:59:07.579Z,axelar,xrpl_to_xrpl_evm,1,1C1D2F586B9A0F59AEC9712DA9DDF94606C690EEC33A658363459C1346026670,0xb24997edfd67fa6e04e0515a8529a0d605aa92818e8cfe4005b2978772d79fa1,,,67448,0,0.061,0.213,4.000012,0,0.123,0.425,8.000024,,
mainnet_xrpl_to_xrpl_evm_1765468678540,2025-12-11T15:57:59.616Z,axelar,xrpl_to_xrpl_evm,1,0AE7E7B7324D5F1731567B20BC9D3ABE8A5F957497E971C7C4C619316E912BA8,0xeab6f8a958a589d908d8a248291df78ded398ce13feabcc6888cf7a481490941,,,67864,0,0.061,0.213,4.000012,0,0.123,0.425,8.000024,,
mainnet_flare_to_xrpl_1765468618977,2025-12-11T15:56:59.220Z,fasset,flare_to_xrpl,1,0x37369d33b48b8c0dc71918e62648b0bcaa333930480caa357e990dcfee8bbd82,C3F9A9649D8EF85AFD3B9C704287E4663396D4F0F41587E4E35D988A193243DF,,,55245,0.134,0,,,0.255,0,0.04,20.25538562,,
mainnet_xrpl_to_flare_1765468425123,2025-12-11T15:53:45.344Z,fasset,xrpl_to_flare,1,786CF02E1019AAAAE446B0371429DC6FD30F5052F17573BD588FD79944DE580C,0xe6595d052f55e45769fd001fd050e965a11a62045b95a453a24f9780313a9df0,,,186192,0.052,0.02,,,0.001,0.04,0.02,19.920578059999997,,
